gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
893491997																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_1829_3_1		Tembrock, Günter																																	1991-09-09 9:53																						DE					Zoo Osnabrück																																																																				Zalophus californianus Lesson, 1828																												
893491996																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2089_9_1		Tembrock, Günter																																	2000-09-26 16:09																						DE					Zoo Karlsruhe																																																																				Zalophus californianus Lesson, 1828																												
893491995																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2118_11_2		Tembrock, Günter																																	2004-09-17 14:33																						DE					Zoo Berlin																																																																				Zalophus californianus Lesson, 1828																												
893491994																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2064_7_1		Tembrock, Günter																																	1998-11-13 9:45																						DE					Tiergarten Nürnberg																																																																				Zalophus californianus Lesson, 1828																												
893491992																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2051_12_2		Riede, Tobias																																	1997-12-06 11:30																						US					Zoo San Diego																																																																				Zalophus californianus Lesson, 1828																												
893491991																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2110_23_2		Tembrock, Günter																																	2004-01-02 14:47																						DE					Zoo Berlin																																																																				Zalophus californianus Lesson, 1828																												
893491990																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2061_17_2		Tembrock, Günter																																	1998-10-02 14:50																						DE					Tiergarten Wilhelma/Stuttgart																																																																				Zalophus californianus Lesson, 1828																												
893491989																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2064_11_2		Tembrock, Günter																																	1998-11-13 14:02																						DE					Tiergarten Nürnberg																																																																				Zalophus californianus Lesson, 1828																												
893491986																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2124_3_1		Tembrock, Günter																																	2005-08-23 12:10																						DE					Zoo Berlin																																																																				Zalophus californianus Lesson, 1828																												
893491983																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2100_10_1		Tembrock, Günter																																	2002-10-22 15:00																						DE					Zoo Berlin																																																																				Zalophus californianus Lesson, 1828																												
893491976																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2061_18_2		Tembrock, Günter																																	1998-10-02 14:50																						DE					Tiergarten Wilhelma/Stuttgart																																																																				Zalophus californianus Lesson, 1828																												
893491969																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_S_1246_4_1		Tembrock, Günter																																	1969-07-05 10:00																						DE					Zoo Halle																																																																				Zalophus californianus Lesson, 1828																												
893491964																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_S_251_1_1		Tembrock, Günter																																	1959-05-22 11:00																						DE					Zoo Münster																																																																				Zalophus californianus Lesson, 1828																												
893491961																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_1829_22_2		Tembrock, Günter																																	1991-09-09 12:36																						DE					Zoo Osnabrück																																																																				Zalophus californianus Lesson, 1828																												
